A1BG	chr19:58858174-58864865
ABL2.8	chr1:179068463-179198819
ABL2.9	chr1:179068463-179198819
ABL2	chr1:179068463-179198819
ABLIM1.2	chr10:116190870-116418058
ABLIM1.3	chr10:116190870-116444414
ABLIM1.4	chr10:116190870-116444414
ABLIM1	chr10:116190870-116286685
ABLIM2.2	chr4:7967038-8160559
ABLIM2.3	chr4:7967038-8160559
ABLIM2.4	chr4:8008748-8160559
ABLIM2.5	chr4:7967038-8160559
ABLIM2.6	chr4:7967038-8160559
ABLIM2.7	chr4:7967038-8160559
ABLIM2	chr4:7967038-8160559
ABLIM3	chr5:148521054-148639999
ABO	chr9:136130563-136150630
ABP1	chr7:150549573-150558379
ABR.2	chr17:906760-1012324
ABR.3	chr17:906760-1083131
ABRA	chr8:107771712-107782472
ABR	chr17:906760-1090616
ABT1	chr6:26597180-26600275
ABTB1.2	chr3:127391781-127399762
ABTB1.3	chr3:127391781-127399762
ABTB1	chr3:127391781-127399762
ABTB2	chr11:34172535-34378802
ACAA1.2	chr3:38164202-38178733
ACAA1.3	chr3:38164202-38178733
ACAA1	chr3:38164202-38178733
ACAA2	chr18:47309875-47340251
ACACA.2	chr17:35441928-35716059
ACACA.3	chr17:35441928-35656692
ACACA.4	chr17:35441928-35766902
ACACA.5	chr17:35441928-35656692
ACACA	chr17:35441928-35766902
ACACB	chr12:109577202-109706028
ACAD10.2	chr12:112123857-112194910
ACAD10	chr12:112123857-112194910
ACAD11	chr3:132276984-132378975
ACAD8	chr11:134123434-134135744
ACAD9	chr3:128598333-128631956
ACADL	chr2:211052718-211090215
ACADM.2	chr1:76190043-76229353
ACADM	chr1:76190043-76229353
ACADSB	chr10:124768429-124817805
ACADS	chr12:121163571-121177810
ACADVL.2	chr17:7123153-7128584
ACADVL	chr17:7123153-7128584
ACAN.2	chr15:89346674-89418585
ACAN	chr15:89346674-89418585
ACAP1	chr17:7239848-7254793
ACAP2	chr3:194995475-195163817
ACAP3	chr1:1227764-1243269
ACAT1	chr11:107992258-108018889
ACAT2	chr6:160182989-160200085
ACBD3	chr1:226332382-226374423
ACBD4.2	chr17:43213014-43221541
ACBD4.3	chr17:43213014-43221541
ACBD4.4	chr17:43209967-43221541
ACBD4.5	chr17:43213014-43221541
ACBD4	chr17:43213014-43220326
ACBD5.2	chr10:27484144-27529808
ACBD5.3	chr10:27484144-27531068
ACBD5	chr10:27484144-27531068
ACBD6	chr1:180257353-180472022
ACBD7	chr10:15117475-15130775
ACCN1.2	chr17:31340108-32483825
ACCN1	chr17:31340108-31620006
ACCN2.2	chr12:50451487-50477393
ACCN2	chr12:50451487-50477393
ACCN3.2	chr7:150745605-150749843
ACCN3.3	chr7:150745605-150749843
ACCN3	chr7:150745605-150749843
ACCN4.2	chr2:220378892-220403488
ACCN4	chr2:220378892-220403488
ACCN5	chr4:156750881-156787425
ACCS.2	chr11:44087812-44105569
ACCS	chr11:44087729-44105569
ACCSL	chr11:44069531-44081527
ACD.2	chr16:67691416-67694718
ACD.3	chr16:67691416-67694718
ACD	chr16:67691416-67694718
ACE.2	chr17:61562177-61574979
ACE2	chrX:15579156-15620192
ACE	chr17:61554434-61574979
ACER1	chr19:6306510-6333640
ACER2	chr9:19408925-19452500
ACER3	chr11:76571917-76734850
ACHE.2	chr7:100487616-100493541
ACHE	chr7:100487616-100493541
ACIN1.2	chr14:23527776-23540779
ACIN1.3	chr14:23527776-23564823
ACIN1.4	chr14:23527776-23564823
ACIN1.5	chr14:23527776-23564823
ACIN1	chr14:23527776-23540779
ACLY.2	chr17:40023181-40075272
ACLY	chr17:40023181-40075272
ACMSD	chr2:135596186-135659600
ACN9	chr7:96745905-96811073
ACO1	chr9:32384601-32450830
ACO2	chr22:41865129-41924992
ACOT11.2	chr1:55013901-55100417
ACOT11	chr1:55013901-55076000
ACOT12	chr5:80625948-80689988
ACOT13.2	chr6:24667263-24705293
ACOT13	chr6:24667263-24705293
ACOT1	chr14:74003928-74010498
ACOT2	chr14:74035772-74042357
ACOT4	chr14:74058410-74062468
ACOT6	chr14:74083548-74086590
ACOT7.2	chr1:6324333-6420764
ACOT7.3	chr1:6324333-6445883
ACOT7.4	chr1:6324333-6453826
ACOT7	chr1:6324333-6419004
ACOT8	chr20:44470361-44486035
ACOT9.2	chrX:23721778-23761407
ACOT9	chrX:23721778-23761407
ACOX1.2	chr17:73937589-73975444
ACOX1	chr17:73937589-73975444
ACOX2	chr3:58490864-58522929
ACOX3.2	chr4:8368010-8442452
ACOX3	chr4:8368010-8442452
ACOXL.2	chr2:111490150-111851921
ACOXL.3	chr2:111490150-111875799
ACOXL	chr2:111490150-111851798
ACP1.2	chr2:264869-278280
ACP1.3	chr2:264869-278280
ACP1.4	chr2:264869-272481
ACP1	chr2:264869-278280
ACP2.2	chr11:47267070-47270457
ACP2	chr11:47260854-47270457
ACP5.2	chr19:11685477-11689801
ACP5.3	chr19:11685477-11689592
ACP5.4	chr19:11685477-11688553
ACP5	chr19:11685477-11689801
ACP6	chr1:147119168-147142634
ACPL2.2	chr3:140950682-141013485
ACPL2	chr3:140950682-141013485
ACPP.2	chr3:132036211-132077690
ACPP	chr3:132036211-132087144
ACPT	chr19:51293672-51298481
ACRBP	chr12:6747242-6756580
ACRC	chrX:70797874-70833433
ACR	chr22:51176652-51183726
ACRV1.2	chr11:125542230-125550942
ACRV1.3	chr11:125542230-125550942
ACRV1.4	chr11:125542230-125550942
ACRV1.5	chr11:125542230-125550942
ACRV1.6	chr11:125542230-125550942
ACRV1.7	chr11:125542230-125550942
ACRV1.8	chr11:125542230-125550942
ACRV1.9	chr11:125542230-125550942
ACRV1	chr11:125542230-125550942
ACSBG1	chr15:78463189-78526899
ACSBG2	chr19:6135710-6193112
ACSF2	chr17:48503519-48552200
ACSF3.2	chr16:89160254-89222169
ACSF3.3	chr16:89160254-89220994
ACSF3	chr16:89160254-89220997
ACSL1	chr4:185676749-185747215
ACSL3.2	chr2:223725732-223808118
ACSL3	chr2:223725732-223808118
ACSL4.2	chrX:108884564-108976621
ACSL4	chrX:108884564-108976621
ACSL5.2	chr10:114133916-114188137
ACSL5.3	chr10:114135023-114188137
ACSL5	chr10:114135956-114188137
ACSL6.2	chr5:131289152-131347349
ACSL6	chr5:131289152-131347349
ACSM1	chr16:20634559-20702578
ACSM2A	chr16:20462859-20498989
ACSM2B.2	chr16:20548084-20587695
ACSM2B	chr16:20548084-20587695
ACSM3.2	chr16:20775312-20808478
ACSM3	chr16:20775312-20797640
ACSM4	chr12:7456928-7480969
ACSM5	chr16:20420856-20452278
ACSS1	chr20:24986874-25039616
ACSS2.2	chr20:33462766-33515769
ACSS2.3	chr20:33464328-33515769
ACSS2	chr20:33464328-33515769
ACSS3	chr12:81471809-81649582
ACTA1	chr1:229566995-229569843
ACTA2.2	chr10:90694832-90751147
ACTA2	chr10:90694832-90712580
ACTB	chr7:5566783-5570232
ACTBL2	chr5:56775844-56778636
ACTC1	chr15:35080297-35087927
ACTG1	chr17:79476999-79479827
ACTG2	chr2:74120093-74146779
ACTL6A.2	chr3:179280708-179306188
ACTL6A.3	chr3:179280708-179306188
ACTL6A	chr3:179280708-179306188
ACTL6B	chr7:100240728-100254084
ACTL7A	chr9:111624603-111626035
ACTL7B	chr9:111616871-111618275
ACTL8	chr1:18081808-18153556
ACTL9	chr19:8807751-8809172
ACTN1.2	chr14:69340841-69446083
ACTN1.3	chr14:69340841-69446083
ACTN1	chr14:69340841-69446083
ACTN2	chr1:236849770-236927558
ACTN3	chr11:66314391-66330797
ACTN4	chr19:39138327-39221170
ACTR10	chr14:58666833-58702351
ACTR1A	chr10:104238987-104262512
ACTR1B	chr2:98272402-98280561
ACTR2.2	chr2:65454829-65498385
ACTR2	chr2:65454829-65498385
ACTR3B.2	chr7:152456851-152552463
ACTR3B	chr7:152456851-152552463
ACTR3C.2	chr7:149944302-150000069
ACTR3C	chr7:149944302-150020758
ACTR3	chr2:114647537-114716167
ACTR5	chr20:37377097-37401089
ACTR6	chr12:100594574-100618201
ACTR8	chr3:53901156-53916187
ACTRT1	chrX:127184943-127186382
ACTRT2	chr1:2938046-2939465
ACVR1.2	chr2:158592958-158732374
ACVR1B.2	chr12:52345486-52386125
ACVR1B.3	chr12:52345486-52381130
ACVR1B	chr12:52345486-52390859
ACVR1C.2	chr2:158383280-158485399
ACVR1C.3	chr2:158383280-158485399
ACVR1C.4	chr2:158383280-158454072
ACVR1C	chr2:158383280-158485399
ACVR1	chr2:158592958-158731623
ACVR2A	chr2:148602570-148688392
ACVR2B	chr3:38495790-38534631
ACVRL1.2	chr12:52306113-52317144
ACVRL1	chr12:52301202-52317144
ACY1	chr3:52017563-52023217
ACY3	chr11:67410027-67418130
ACYP1.2	chr14:75519930-75530736
ACYP1	chr14:75519930-75530736
ACYP2	chr2:54342410-54532433
ADA	chr20:43248164-43280376
ADAD1.2	chr4:123300595-123350946
ADAD1.3	chr4:123300595-123350946
ADAD1	chr4:123300121-123350946
ADAD2.2	chr16:84224723-84230772
ADAD2	chr16:84224723-84230772
ADAL.2	chr15:43622872-43646094
ADAL	chr15:43622872-43641614
ADAM10	chr15:58888510-59042177
ADAM11	chr17:42836568-42859212
ADAM12.2	chr10:127729914-128077127
ADAM12	chr10:127702902-128077127
ADAM15.2	chr1:155023762-155035252
ADAM15.3	chr1:155023762-155035252
ADAM15.4	chr1:155023762-155035252
ADAM15.5	chr1:155023762-155035252
ADAM15.6	chr1:155023762-155035252
ADAM15	chr1:155023762-155035252
ADAM17	chr2:9629413-9695917
ADAM18	chr8:39442142-39587485
ADAM19	chr5:156904313-157002768
ADAM20	chr14:70989079-71001732
ADAM21	chr14:70924217-70926621
ADAM21P	chr14:70712471-70714518
ADAM22.2	chr7:87563702-87811428
ADAM22.3	chr7:87563702-87826447
ADAM22.4	chr7:87563702-87826447
ADAM22.5	chr7:87563702-87811428
ADAM22	chr7:87563702-87826447
ADAM23	chr2:207308368-207482677
ADAM28.2	chr8:24151580-24212725
ADAM28	chr8:24151580-24193610
ADAM29.2	chr4:175839509-175899330
ADAM29.3	chr4:175839509-175899330
ADAM29.4	chr4:175839509-175899330
ADAM29	chr4:175839509-175899330
ADAM2	chr8:39601256-39695779
ADAM30	chr1:120436157-120439113
ADAM32	chr8:38965050-39142435
ADAM33.2	chr20:3648621-3662738
ADAM33	chr20:3648621-3662738
ADAM3A.2	chr8:39308565-39380470
ADAM3A.3	chr8:39308565-39380470
ADAM3A	chr8:39308565-39380470
ADAM5P	chr8:39172182-39260375
ADAM6	chr14:106435819-106438358
ADAM7	chr8:24298509-24366273
ADAM8.2	chr10:135075921-135090407
ADAM8.3	chr10:135075921-135090407
ADAM8	chr10:135075921-135090407
ADAM9.2	chr8:38854505-38962777
ADAM9.3	chr8:38854505-38962777
ADAM9.4	chr8:38854505-38962777
ADAM9	chr8:38854505-38962777
ADAMDEC1.2	chr8:24241798-24263526
ADAMDEC1.3	chr8:24241798-24263526
ADAMDEC1	chr8:24241798-24263526
ADAMTS10	chr19:8645126-8675588
ADAMTS12	chr5:33527287-33892124
ADAMTS13.2	chr9:136287120-136324507
ADAMTS13.3	chr9:136287120-136324507
ADAMTS13.4	chr9:136279459-136324507
ADAMTS13	chr9:136287120-136324507
ADAMTS14.2	chr10:72432559-72522193
ADAMTS14	chr10:72432559-72522193
ADAMTS15	chr11:130318869-130343715
ADAMTS16	chr5:5140443-5320411
ADAMTS17	chr15:100511643-100882183
ADAMTS18	chr16:77316026-77469011
ADAMTS19	chr5:128796103-129074376
ADAMTS1	chr21:28208608-28217728
ADAMTS20	chr12:43748013-43945724
ADAMTS2.2	chr5:178578131-178772329
ADAMTS2	chr5:178540851-178772329
ADAMTS3	chr4:73146687-73434516
ADAMTS4	chr1:161159539-161168845
ADAMTS5	chr21:28290232-28339439
ADAMTS6	chr5:64444564-64777704
ADAMTS7	chr15:79051546-79103773
ADAMTS8	chr11:130274820-130298539
ADAMTS9	chr3:64501333-64673365
ADAMTSL1.2	chr9:18474104-18684950
ADAMTSL1	chr9:18474104-18910945
ADAMTSL2.2	chr9:136397286-136440640
ADAMTSL2	chr9:136399975-136440640
ADAMTSL3	chr15:84322838-84708591
ADAMTSL4.2	chr1:150521898-150531221
ADAMTSL4	chr1:150521898-150533410
ADAMTSL5	chr19:1505017-1513188
ADAP1	chr7:937538-994289
ADAP2	chr17:29248754-29286209
ADAR.2	chr1:154554536-154580682
ADAR.3	chr1:154554536-154580682
ADAR.4	chr1:154554536-154600437
ADARB1.2	chr21:46494493-46646478
ADARB1.3	chr21:46494493-46646478
ADARB1.4	chr21:46494493-46646478
ADARB1.5	chr21:46494493-46646478
ADARB1.6	chr21:46494493-46646478
ADARB1.7	chr21:46494493-46646478
ADARB1	chr21:46494493-46646478
ADARB2	chr10:1228074-1779718
ADAR	chr1:154554536-154580682
ADAT1	chr16:75632998-75657154
ADAT2	chr6:143743970-143771841
ADAT3	chr19:1905417-1913443
ADC	chr1:33546714-33585994
ADCK1.2	chr14:78266426-78400296
ADCK1	chr14:78266426-78400296
ADCK2	chr7:140372953-140394908
ADCK4.2	chr19:41197434-41222790
ADCK4	chr19:41197434-41220978
ADCK5	chr8:145597731-145618451
ADCY10.2	chr1:167778625-167883453
ADCY10	chr1:167778625-167883453
ADCY1	chr7:45614125-45762712
ADCY2	chr5:7396343-7830194
ADCY3	chr2:25042041-25142055
ADCY4	chr14:24787571-24803864
ADCY5	chr3:123003399-123167392
ADCY6.2	chr12:49159976-49177877
ADCY6	chr12:49159981-49182820
ADCY7	chr16:50321823-50352043
ADCY8	chr8:131792548-132052835
ADCY9	chr16:4012653-4166186
ADCYAP1.2	chr18:904944-912171
ADCYAP1	chr18:905297-912171
ADCYAP1R1	chr7:31092142-31146311
ADD1.2	chr4:2845584-2931787
ADD1.3	chr4:2845584-2931787
ADD1.4	chr4:2845584-2931787
ADD1	chr4:2845584-2931787
ADD2.2	chr2:70902223-70995329
ADD2.3	chr2:70889265-70995329
ADD2.4	chr2:70902223-70995329
ADD2.5	chr2:70889265-70995329
ADD2	chr2:70889265-70995329
ADD3.2	chr10:111767711-111895320
ADD3.3	chr10:111767711-111895320
ADD3	chr10:111765726-111895320
ADH1A	chr4:100197524-100212142
ADH1B	chr4:100227528-100242572
ADH1C	chr4:100257651-100273917
ADH4	chr4:100044835-100065449
ADH5	chr4:99992132-100009931
ADH6.2	chr4:100125880-100140403
ADH6	chr4:100123795-100140403
ADH7.2	chr4:100333419-100356667
ADH7	chr4:100333419-100356291
ADHFE1	chr8:67344718-67381042
ADI1	chr2:3501691-3523350
ADIG	chr20:37209838-37217104
ADIPOQ	chr3:186560463-186576250
ADIPOR1.2	chr1:202909963-202927485
ADIPOR1	chr1:202909963-202927700
ADIPOR2	chr12:1800247-1897844
ADK.2	chr10:75936444-76469059
ADK	chr10:75910965-76469059
ADM2	chr22:50920012-50924864
ADM	chr11:10326642-10328923
ADNP2	chr18:77866915-77898226
ADNP.2	chr20:49506883-49547527
ADNP	chr20:49506883-49547527
ADO	chr10:64564516-64568238
ADORA1.2	chr1:203096836-203136533
ADORA1	chr1:203096836-203136533
ADORA2A	chr22:24823530-24838324
ADORA2B	chr17:15848231-15879210
ADORA3.2	chr1:112042053-112046743
ADORA3.3	chr1:112025971-112106597
ADORA3	chr1:112025971-112046743
ADPGK.2	chr15:73043710-73076126
ADPGK.3	chr15:73043710-73076126
ADPGK	chr15:73043710-73076126
ADPRH	chr3:119298523-119308791
ADPRHL1.2	chr13:114076586-114107839
ADPRHL1	chr13:114076260-114103457
ADPRHL2	chr1:36554453-36559532
ADRA1A.2	chr8:26605667-26722922
ADRA1A.3	chr8:26613913-26722922
ADRA1A.4	chr8:26627222-26722922
ADRA1A	chr8:26623371-26722922
ADRA1B	chr5:159343740-159400017
ADRA1D	chr20:4201278-4229659
ADRA2A	chr10:112836790-112840660
ADRA2B	chr2:96778626-96781888
ADRA2C	chr4:3768296-3770251
ADRB1	chr10:115803806-115806665
ADRB2	chr5:148206156-148208188
ADRB3	chr8:37820516-37824184
ADRBK1	chr11:67033905-67054029
ADRBK2	chr22:25960861-26125256
ADRM1.2	chr20:60878027-60883916
ADRM1	chr20:60878027-60883916
ADSL.2	chr22:40742504-40762573
ADSL	chr22:40742504-40762573
ADSS	chr1:244571797-244615413
ADSSL1.2	chr14:105196228-105213645
ADSSL1	chr14:105190534-105213645
AEBP1	chr7:44143960-44154158
AEBP2.2	chr12:19592608-19675173
AEBP2	chr12:19592608-19675173
AEN	chr15:89164527-89175512
AES.2	chr19:3052908-3062371
AES.3	chr19:3052908-3062964
AES	chr19:3052908-3062371
AFAP1.2	chr4:7760440-7941653
AFAP1	chr4:7760440-7941653
AFAP1L1.2	chr5:148651401-148721365
AFAP1L1	chr5:148651401-148721365
AFAP1L2.2	chr10:116054584-116164515
AFAP1L2	chr10:116054584-116164515
AFARP1	chr1:113465972-113467295
AFF1.2	chr4:87856154-88062205
AFF1	chr4:87928153-88062190
AFF2	chrX:147582139-148082192
AFF3.2	chr2:100163718-100722045
AFF3	chr2:100163718-100759037
AFF4	chr5:132211072-132299354
AFG3L1.2	chr16:90038988-90063028
AFG3L1.3	chr16:90038988-90063028
AFG3L1	chr16:90038988-90067195
AFG3L2	chr18:12329108-12377194
AFM	chr4:74347462-74369717
AFMID.2	chr17:76183398-76193641
AFMID.3	chr17:76183437-76203782
AFMID	chr17:76183443-76203782
AFP	chr4:74301933-74321492
AFTPH.2	chr2:64751465-64820131
AFTPH.3	chr2:64751465-64820131
AFTPH	chr2:64751465-64820131
AGA	chr4:178351924-178363591
AGAP11	chr10:88730498-88769960
AGAP1.2	chr2:236402736-237034114
AGAP1	chr2:236402736-237034114
AGAP2.2	chr12:58118995-58135940
AGAP2	chr12:58118995-58132029
AGAP3.2	chr7:150783826-150841523
AGAP3	chr7:150783826-150820725
AGAP4	chr10:46321051-46342921
AGAP5	chr10:75434034-75457554
AGAP6	chr10:51748078-51770258
AGAP7	chr10:51464164-51486327
AGAP8	chr10:51224690-51246535
AGBL1	chr15:86685242-87572283
AGBL2	chr11:47681145-47736302
AGBL3	chr7:134671259-134820526
AGBL4	chr1:48998527-50489626
AGBL5.2	chr2:27274491-27293489
AGBL5	chr2:27274491-27282401
AGER.14	chr6:32148746-32152023
AGER.7	chr6:32148746-32152023
AGFG1.2	chr2:228336888-228425938
AGFG1.3	chr2:228336888-228425938
AGFG1.4	chr2:228336888-228425938
AGFG1	chr2:228336888-228425938
AGFG2	chr7:100136834-100165842
AGGF1	chr5:76326232-76361035
AGK	chr7:141251078-141354209
AGL.2	chr1:100315640-100389579
AGL.3	chr1:100316045-100389579
AGL.4	chr1:100326766-100389579
AGL.5	chr1:100316045-100389579
AGL.6	chr1:100316531-100389579
AGL	chr1:100316045-100389579
AGMAT	chr1:15899152-15911605
AGPAT1.4	chr6:32135990-32143899
AGPAT1.8	chr6:32135990-32145842
AGPAT2.2	chr9:139567595-139581911
AGPAT2	chr9:139567595-139581911
AGPAT3.2	chr21:45285116-45407474
AGPAT3	chr21:45345279-45407474
AGPAT4	chr6:161551057-161695107
AGPAT5	chr8:6565878-6619019
AGPAT6	chr8:41435707-41482520
AGPAT9	chr4:84457653-84527025
AGPHD1.2	chr15:78799906-78826011
AGPHD1	chr15:78799906-78829714
AGPS	chr2:178257471-178408564
AGR2	chr7:16832266-16844738
AGR3	chr7:16899031-16921613
AGRN	chr1:955503-991492
AGRP.2	chr16:67516474-67517304
AGRP	chr16:67516474-67517716
AGT	chr1:230838274-230850336
AGTPBP1	chr9:88161455-88356944
AGTR1.2	chr3:148415658-148460788
AGTR1.3	chr3:148415658-148460788
AGTR1.4	chr3:148415658-148460788
AGTR1.5	chr3:148415658-148460788
AGTR1	chr3:148447967-148460788
AGTR2	chrX:115301958-115306223
AGTRAP.2	chr1:11796142-11810827
AGTRAP.3	chr1:11796142-11810827
AGTRAP.4	chr1:11796142-11810827
AGTRAP.5	chr1:11796142-11810827
AGTRAP	chr1:11796142-11810827
AGXT2	chr5:34998206-35048076
AGXT2L1.2	chr4:109663204-109684235
AGXT2L1.3	chr4:109663204-109684235
AGXT2L1.4	chr4:109663204-109684235
AGXT2L1.5	chr4:109663204-109684235
AGXT2L1	chr4:109663204-109684235
AGXT2L2	chr5:177635541-177659803
AGXT	chr2:241808162-241818535
AHCTF1	chr1:247002402-247094726
AHCY.2	chr20:32868073-32899608
AHCY	chr20:32868073-32891215
AHCYL1	chr1:110527308-110566363
AHCYL2.2	chr7:129007982-129070051
AHCYL2.3	chr7:128864864-129070051
AHCYL2.4	chr7:129007982-129070051
AHCYL2	chr7:128864864-129070051
AHDC1	chr1:27860794-27930143
AHI1.2	chr6:135605112-135818903
AHI1.3	chr6:135605112-135818903
AHI1.4	chr6:135708922-135818903
AHI1	chr6:135605112-135818903
AHNAK.2	chr11:62201016-62314332
AHNAK2	chr14:105403591-105444694
AHNAK	chr11:62283375-62314332
AHR	chr7:17338276-17385775
AHRR	chr5:304291-438403
AHSA1	chr14:77924373-77935807
AHSA2	chr2:61404821-61414058
AHSG	chr3:186330850-186339105
AHSP	chr16:31539203-31540123
AICDA	chr12:8754762-8765442
AIDA	chr1:222841357-222885864
AIF1.14	chr6:31583033-31584796
AIF1.5	chr6:31583789-31584796
AIF1	chr6:31582994-31584796
AIF1L	chr9:133971912-133998539
AIFM1.2	chrX:129263340-129299808
AIFM1.3	chrX:129263340-129299808
